ticker,sector,cap_tier
AAPL,Technology,large
MSFT,Technology,large
NVDA,Technology,large
GOOGL,Technology,large
META,Technology,large
AMZN,Consumer,large
TSLA,Automotive,large
JPM,Financials,large
V,Financials,large
MA,Financials,large
JNJ,Healthcare,large
LLY,Healthcare,large
ABBV,Healthcare,large
UNH,Healthcare,large
XOM,Energy,large
CVX,Energy,large
HD,Retail,large
WMT,Retail,large
PG,Consumer,large
KO,Consumer,large
PEP,Consumer,large
NKE,Consumer,large
MCD,Consumer,large
CAT,Industrial,large
HON,Industrial,large
GE,Industrial,large
BA,Industrial,large
ORCL,Technology,large
CRM,Technology,large
NOW,Technology,large
ADBE,Technology,large
AMD,Technology,large
QCOM,Technology,large
BAC,Financials,large
WFC,Financials,large
GS,Financials,large
MS,Financials,large
MRK,Healthcare,large
PFE,Healthcare,large
ABT,Healthcare,large
DHR,Healthcare,large
AMGN,Healthcare,large
NEE,Utilities,large
DUK,Utilities,large
DIS,Media,large
NFLX,Technology,large
TMO,Healthcare,large
ISRG,Healthcare,large
BLK,Financials,large
SPGI,Financials,large
