ticker,name,sector,cap_tier,exchange,adv_usd
005930.KS,"Samsung Electronics Co., Ltd.",Technology,large,KSC,1073883092150
000660.KS,SK hynix Inc.,Technology,large,KSC,504127255250
035420.KS,NAVER Corporation,Communication Services,large,KSC,162145344000
006400.KS,"Samsung SDI Co., Ltd.",Technology,large,KSC,142552542089
005380.KS,Hyundai Motor Company,Consumer Cyclical,large,KSC,140893783250
005490.KS,POSCO Holdings Inc.,Basic Materials,large,KSC,124080690750
373220.KS,"LG Energy Solution, Ltd.",Industrials,large,KSC,122378788000
051910.KS,"LG Chem, Ltd.",Basic Materials,large,KSC,118994364000
034020.KS,"Doosan Enerbility Co., Ltd.",Industrials,large,KSC,116766181384
247540.KQ,"Ecopro BM. Co., Ltd.",Industrials,large,KOE,116749893600
000270.KS,Kia Corporation,Consumer Cyclical,large,KSC,109037013100
035720.KS,Kakao Corp.,Communication Services,large,KSC,106125448350
086520.KQ,"Ecopro Co., Ltd.",Basic Materials,large,KOE,101816836795
012450.KS,"Hanwha Aerospace Co., Ltd.",Industrials,large,KSC,89445073413
068270.KS,"Celltrion, Inc.",Healthcare,large,KSC,88094475803
003670.KS,"Posco Future M Co., Ltd.",Basic Materials,large,KSC,83359659750
9984.T,SoftBank Group Corp.,Unknown,large,JPX,81291006400
066970.KQ,"L&F Co., Ltd.",Industrials,large,KOE,80006404900
105560.KS,KB Financial Group Inc.,Financial Services,large,KSC,79562612100
196170.KQ,ALTEOGEN Inc.,Healthcare,large,KOE,74706448500
005935.KS,"Samsung Electronics Co., Ltd.",Technology,large,KSC,72179202750
064350.KS,Hyundai Rotem Company,Industrials,large,KSC,70265996675
278470.KS,"APR Co., Ltd.",Consumer Defensive,large,KOE,69690217500
066570.KS,LG Electronics Inc.,Technology,large,KSC,68939284750
7203.T,Toyota Motor Corporation,Unknown,large,JPX,62445107200
042700.KS,"HANMI Semiconductor Co., Ltd.",Technology,large,KSC,62402657800
009150.KS,"Samsung Electro-Mechanics Co., Ltd.",Technology,large,KSC,60434491950
096770.KS,"SK Innovation Co., Ltd.",Energy,large,KSC,59208737774
055550.KS,"Shinhan Financial Group Co., Ltd.",Financial Services,large,KSC,56254486950
207940.KS,"Samsung Biologics Co.,Ltd.",Healthcare,large,KSC,53433515923
352820.KS,"HYBE Co., Ltd.",Communication Services,large,KSC,53141040500
086790.KS,Hana Financial Group Inc.,Financial Services,large,KSC,52076763250
007660.KS,"ISU Petasys Co., Ltd.",Technology,large,KSC,50384150380
0126Z0.KS,Samsung Epis Holdings,Healthcare,large,KOE,48772880000
012330.KS,"Hyundai Mobis Co.,Ltd",Consumer Cyclical,large,KSC,46460390750
011070.KS,"LG Innotek Co., Ltd.",Technology,large,KSC,45706976250
6758.T,Sony Group Corporation,Unknown,large,JPX,43874137500
010140.KS,"Samsung Heavy Industries Co., Ltd.",Industrials,large,KSC,43408841715
047810.KS,"Korea Aerospace Industries, Ltd.",Industrials,large,KSC,39985584700
091990.KQ,"Celltrion Healthcare Co., Ltd.",Healthcare,large,KOE,39495365700
064400.KS,Lg Cns,Technology,large,KSC,38076545000
011200.KS,"HMM Co.,Ltd",Industrials,large,KSC,37989040500
329180.KS,"Hd Hyundai Heavy Industries Co., Ltd.",Industrials,large,KSC,35857736250
028300.KQ,"HLB Co., Ltd.",Healthcare,large,KOE,35402803800
015760.KS,Korea Electric Power Corporation,Utilities,large,KSC,34430857230
259960.KS,"KRAFTON, Inc.",Technology,large,KSC,34308084300
017670.KS,"SK Telecom Co.,Ltd",Communication Services,large,KSC,33532309450
028260.KS,Samsung C&T Corporation,Industrials,large,KSC,33110302500
009540.KS,"Korea Shipbuilding & Offshore Engineering Co., Ltd.",Industrials,large,KSC,32746387250
079550.KS,"LIG Nex1 Co., Ltd.",Industrials,large,KSC,32155461600
042660.KS,"Hanwha Ocean Co., Ltd.",Industrials,large,KSC,30467881900
316140.KS,Woori Financial Group Inc.,Financial Services,large,KSC,30277181710
403870.KQ,"HPSP Co., Ltd.",Technology,large,KOE,29895565150
267260.KS,"HD Hyundai Electric Co., Ltd.",Industrials,large,KSC,29793708500
277810.KQ,"Rainbow Robotics Co.,Ltd.",Industrials,large,KOE,29703264000
6501.T,"Hitachi, Ltd.",Unknown,large,JPX,29037800000
