ticker,name,sector,cap_tier,exchange,adv_usd
SHEL.L,Shell plc,Energy,large,LSE,21068823271
AZN.L,AstraZeneca PLC,Healthcare,large,LSE,19267977740
HSBA.L,HSBC Holdings plc,Financial Services,large,LSE,16348970729
BP.L,BP p.l.c.,Energy,large,LSE,15340504419
GLEN.L,Glencore plc,Basic Materials,large,LSE,15246548854
RIO.L,Rio Tinto Group,Basic Materials,large,LSE,14954093305
ULVR.L,Unilever PLC,Consumer Defensive,large,LSE,13159869515
GSK.L,GSK plc,Healthcare,large,LSE,10579022505
BATS.L,British American Tobacco p.l.c.,Consumer Defensive,large,LSE,9949555266
AAL.L,Anglo American plc,Basic Materials,large,LSE,9917961892
DGE.L,Diageo plc,Consumer Defensive,large,LSE,9789382491
BARC.L,Barclays PLC,Financial Services,large,LSE,8922900305
LLOY.L,Lloyds Banking Group plc,Financial Services,large,LSE,8804975261
RR.L,Rolls-Royce Holdings plc,Industrials,large,LSE,8296424678
REL.L,RELX Plc,Industrials,large,LSE,8148530317
RKT.L,Reckitt Benckiser Group plc,Consumer Defensive,large,LSE,7953706276
NG.L,National Grid plc,Utilities,large,LSE,7308941137
LSEG.L,London Stock Exchange Group plc,Financial Services,large,LSE,7056058760
BA.L,BAE Systems plc,Industrials,large,LSE,6886916427
VOD.L,Vodafone Group Public Limited Company,Communication Services,large,LSE,6006888520
PRU.L,Prudential plc,Financial Services,large,LSE,5855519208
NWG.L,NatWest Group plc,Financial Services,large,LSE,5789589315
HLN.L,Haleon plc,Healthcare,large,LSE,5766435416
STAN.L,Standard Chartered PLC,Financial Services,large,LSE,4982331153
SSE.L,SSE plc,Utilities,large,LSE,4978349702
EXPN.L,Experian plc,Industrials,large,LSE,4914721544
TSCO.L,Tesco PLC,Consumer Defensive,large,LSE,4724921717
AHT.L,Ashtead Group plc,Industrials,large,LSE,4328892458
III.L,3i Group plc,Financial Services,large,LSE,4095908944
IMB.L,Imperial Brands PLC,Consumer Defensive,large,LSE,3915693421
IAG.L,International Consolidated Airlines Group S.A.,Industrials,large,LSE,3900745027
LGEN.L,Legal & General Group Plc,Financial Services,large,LSE,3807022670
SUNB.L,Sunbelt Rentals Holdings Inc,Financial Services,large,LSE,3693483336
AV.L,Aviva plc,Financial Services,large,LSE,3634360724
BHP.L,BHP Group Limited,Basic Materials,large,LSE,3618149790
FLTR.L,Flutter Entertainment plc,Consumer Cyclical,large,LSE,3216162618
BT-A.L,BT Group plc,Communication Services,large,LSE,2932820057
CRH.L,CRH plc,Basic Materials,large,LSE,2766177200
NXT.L,NEXT plc,Consumer Cyclical,large,LSE,2766050002
RTO.L,Rentokil Initial plc,Industrials,large,LSE,2593271659
CNA.L,Centrica plc,Utilities,mid,LSE,2564799213
INF.L,Informa plc,Communication Services,large,LSE,2424078460
SN.L,Smith & Nephew plc,Healthcare,mid,LSE,2369305983
SGE.L,The Sage Group plc,Technology,mid,LSE,2334990607
BNZL.L,Bunzl plc,Consumer Defensive,mid,LSE,2025504372
SGRO.L,SEGRO Plc,Real Estate,mid,LSE,1968474329
FERG.L,Ferguson plc,Industrials,large,LSE,1897583475
ANTO.L,Antofagasta plc,Basic Materials,large,LSE,1814144410
MKS.L,Marks and Spencer Group plc,Consumer Cyclical,mid,LSE,1779122482
HLMA.L,Halma plc,Industrials,large,LSE,1778516205
SKG.L,Smurfit Kappa Group Plc,Consumer Cyclical,large,LSE,1697770210
UU.L,United Utilities Group PLC,Utilities,mid,LSE,1685359841
BNC.L,"Banco Santander, S.A.",Financial Services,large,LSE,1683474607
ABF.L,Associated British Foods plc,Consumer Defensive,large,LSE,1679840643
CCH.L,Coca-Cola HBC AG,Consumer Defensive,large,LSE,1670095727
NOVO-B.CO,Novo Nordisk A/S,Healthcare,large,CPH,1624280507
ITRK.L,Intertek Group plc,Industrials,mid,LSE,1599553951
PSON.L,Pearson plc,Communication Services,mid,LSE,1594684524
SVT.L,Severn Trent Plc,Utilities,mid,LSE,1585418117
ADM.L,Admiral Group plc,Financial Services,large,LSE,1512188034
SWR.L,Smurfit Westrock Plc,Consumer Cyclical,large,LSE,1465904775
SMIN.L,Smiths Group plc,Industrials,mid,LSE,1421003956
SMDS.L,DS Smith Plc,Consumer Cyclical,mid,LSE,1409202274
PHNX.L,Phoenix Group Holdings plc,Financial Services,mid,LSE,1307880204
MNG.L,M&G plc,Financial Services,mid,LSE,1228267198
BEZ.L,Beazley plc,Financial Services,mid,LSE,1201860790
SDLF.L,Standard Life plc,Financial Services,mid,LSE,1191135012
WISE.L,Wise plc,Technology,mid,LSE,1048132300
VALT.L,Valterra Platinum Limited,Basic Materials,large,LSE,935756640
CCL.L,Carnival Corporation & plc,Consumer Cyclical,large,LSE,917738825
DPLM.L,Diploma PLC,Industrials,mid,LSE,836669619
FRES.L,Fresnillo plc,Basic Materials,large,LSE,823920387
SDR.L,Schroders plc,Financial Services,mid,LSE,743572422
VOLV-B.ST,AB Volvo (publ),Industrials,large,STO,717898052
INVE-B.ST,Investor AB (publ),Financial Services,large,STO,631149389
EDV.L,Endeavour Mining plc,Basic Materials,mid,LSE,606500408
ATCO-A.ST,Atlas Copco AB,Industrials,large,STO,590137148
EVO.ST,Evolution AB (publ),Consumer Cyclical,large,STO,576741940
ERIC-B.ST,Telefonaktiebolaget LM Ericsson (publ),Technology,large,STO,500317481
SWED-A.ST,Swedbank AB (publ),Financial Services,large,STO,477495775
NDA-SE.ST,Nordea Bank Abp,Financial Services,large,STO,476272400
SHB-A.ST,Svenska Handelsbanken AB (publ),Financial Services,large,STO,456263728
AZN.ST,AstraZeneca PLC,Healthcare,large,STO,427522397
ASML.AS,ASML Holding N.V.,Unknown,large,AMS,425231406
SAND.ST,Sandvik AB (publ),Industrials,large,STO,423422372
HM-B.ST,H & M Hennes & Mauritz AB (publ),Consumer Cyclical,large,STO,413541320
ASSA-B.ST,ASSA ABLOY AB (publ),Industrials,large,STO,406940673
BOL.ST,Boliden AB (publ),Basic Materials,large,STO,399622912
SEB-A.ST,Skandinaviska Enskilda Banken AB (publ),Financial Services,large,STO,392345513
AAF.L,Airtel Africa Plc,Communication Services,large,LSE,387060387
DSV.CO,DSV A/S,Industrials,large,CPH,382121324
VWS.CO,Vestas Wind Systems A/S,Industrials,large,CPH,374807319
HEXA-B.ST,Hexagon AB (publ),Technology,large,STO,349715630
ESSITY-B.ST,Essity AB (publ),Consumer Defensive,large,STO,337719759
MAERSK-B.CO,A.P. Møller - Mærsk A/S,Industrials,large,CPH,334173000
TELIA.ST,Telia Company AB (publ),Communication Services,large,STO,282354185
ABB.ST,ABB Ltd,Industrials,large,STO,282348058
SAAB-B.ST,Saab AB (publ),Industrials,large,STO,278780744
NIBE-B.ST,NIBE Industrier AB (publ),Industrials,large,STO,268738718
SKF-B.ST,AB SKF (publ),Industrials,large,STO,259425740
EQT.ST,EQT AB (publ),Financial Services,large,STO,249352028
MC.PA,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne",Unknown,large,PAR,248374447
SAP.DE,SAP SE,Technology,large,XETRA,248245387
ORSTED.CO,Ørsted A/S,Utilities,large,CPH,245179883
TTE.PA,TotalEnergies SE,Unknown,large,PAR,243924970
GMAB.CO,Genmab A/S,Healthcare,large,CPH,231470217
ALFA.ST,Alfa Laval Corporate AB,Industrials,large,STO,223772644
DANSKE.CO,Danske Bank A/S,Financial Services,large,CPH,221492116
SSAB-B.ST,SSAB AB (publ),Basic Materials,large,STO,221216097
TEL2-B.ST,Tele2 AB (publ),Communication Services,large,STO,220140693
